Area,Date,Number,MOE,Percent,Percent MOE,Week Num,Month,Year,State Abbr
Ohio,"April 28, 2021",1935680,233211,22.2,2.7,29 ,April 28, 2021,OH
Oklahoma,"April 28, 2021",503842,71337,17.3,2.4,29 ,April 28, 2021,OK
Oregon,"April 28, 2021",927827,62805,28.2,1.9,29 ,April 28, 2021,OR
Pennsylvania,"April 28, 2021",2402183,218407,24.9,2.3,29 ,April 28, 2021,PA
Rhode Island,"April 28, 2021",210360,25910,26.2,3.3,29 ,April 28, 2021,RI
South Carolina,"April 28, 2021",553833,89612,13.9,2.2,29 ,April 28, 2021,SC
South Dakota,"April 28, 2021",102523,19309,15.9,3.0,29 ,April 28, 2021,SD
Tennessee,"April 28, 2021",971913,111036,18.6,2.1,29 ,April 28, 2021,TN
Texas,"April 28, 2021",5527559,442588,25.7,2.1,29 ,April 28, 2021,TX
Utah,"April 28, 2021",720963,44886,31.3,2.0,29 ,April 28, 2021,UT
Vermont,"April 28, 2021",110393,19447,22.9,4.0,29 ,April 28, 2021,VT
Virginia,"April 28, 2021",2143479,165155,33.2,2.6,29 ,April 28, 2021,VA
Washington,"April 28, 2021",2052992,119360,34.9,2.0,29 ,April 28, 2021,WA
West Virginia,"April 28, 2021",158262,23742,11.6,1.7,29 ,April 28, 2021,WV
Wisconsin,"April 28, 2021",1049784,113746,23.8,2.5,29 ,April 28, 2021,WI
Wyoming,"April 28, 2021",60206,10064,13.8,2.3,29 ,April 28, 2021,WY
Alabama,"May 12, 2021",473241,85719,12.8,2.3,30 ,May 12, 2021,AL
Alaska,"May 12, 2021",123120,14920,23.6,2.8,30 ,May 12, 2021,AK
Arizona,"May 12, 2021",1445649,110679,25.3,1.9,30 ,May 12, 2021,AZ
Arkansas,"May 12, 2021",371535,83072,16.6,3.6,30 ,May 12, 2021,AR
California,"May 12, 2021",8846111,490716,29.9,1.7,30 ,May 12, 2021,CA
Colorado,"May 12, 2021",1497145,108447,33.6,2.5,30 ,May 12, 2021,CO
