Area,Week,Number,MOE,Percent,MOE Percent
Michigan,"19 - November 11-23, 2020",2423365,210491,33.5,2.8
Ohio,"14 - September 2-14, 2020",2801514,209786,32.7,2.4
New Jersey,"18 - October 28 - November 9, 2020",2754484,209619,42.6,3.2
Georgia,"23 - January 20 - February 1, 2021",2884754,209390,37.7,2.7
Illinois,"15 - September 16-28, 2020",3398566,207906,37.2,2.4
Michigan,"25 - February 17 - March 1, 2021",2839483,207883,38.9,2.8
Illinois,"17 - October 14-26, 2020",3356483,205951,37.3,2.3
Michigan,"17 - October 14-26, 2020",2555379,205131,34.6,2.8
Illinois,"13 - August 19-31, 2020",3353674,204940,37.1,2.3
Virginia,"20 - November 25 - December 7, 2020",2836632,204326,45.1,3.4
New Jersey,"22 - January 6-18, 2021",2949835,203608,46.8,3.1
Pennsylvania,"16 - September 30 - October 12, 2020",3630065,202753,38.6,2.2
Illinois,"22 - January 6-18, 2021",3566554,202287,39.7,2.4
Georgia,"17 - October 14-26, 2020",2853235,200447,37.3,2.8
Ohio,"13 - August 19-31, 2020",2608870,199386,31.3,2.5
North Carolina,"24 - February 3-15, 2021",2807057,197684,37,2.7
North Carolina,"25 - February 17 - March 1, 2021",2732202,197303,36.6,2.8
Illinois,"25 - February 17 - March 1, 2021",3365320,195522,37.8,2.2
Michigan,"22 - January 6-18, 2021",2570359,195085,35.9,2.8
Ohio,"15 - September 16-28, 2020",2653558,194662,31.7,2.4
Pennsylvania,"14 - September 2-14, 2020",3488451,194294,37.6,2
North Carolina,"13 - August 19-31, 2020",2483914,193784,32.8,2.6
New Jersey,"27 - March 17-29, 2021",3293764,191887,51.1,3
Michigan,"26 - March 3-15, 2021",2612530,191816,36.1,2.7
New Jersey,"19 - November 11-23, 2020",2853053,187694,44.4,3.1
Arizona,"18 - October 28 - November 9, 2020",1937825,187064,36,3.4
Michigan,"27 - March 17-29, 2021",2578675,186270,36.3,2.7
Georgia,"13 - August 19-31, 2020",2841687,184154,37.8,2.3
Virginia,"19 - November 11-23, 2020",2675069,183384,43,2.9
Indiana,"25 - February 17 - March 1, 2021",1663691,183158,34.5,3.8
New Jersey,"23 - January 20 - February 1, 2021",2931288,182696,46.5,2.9
Illinois,"16 - September 30 - October 12, 2020",3562494,182377,39.4,2
Missouri,"18 - October 28 - November 9, 2020",1720267,182277,38.4,4
Virginia,"22 - January 6-18, 2021",2747582,181943,45.2,3
Virginia,"17 - October 14-26, 2020",2651904,181215,42.8,2.9
Virginia,"27 - March 17-29, 2021",2812637,178023,45.6,2.9
Pennsylvania,"13 - August 19-31, 2020",3454163,177133,37.4,1.9
New Jersey,"26 - March 3-15, 2021",3165304,176637,49.4,2.7
New Jersey,"20 - November 25 - December 7, 2020",2761769,175149,44.4,2.6
Michigan,"20 - November 25 - December 7, 2020",2512878,173198,34.8,2.3
New Jersey,"24 - February 3-15, 2021",3064689,171927,48,2.6
Massachusetts,"18 - October 28 - November 9, 2020",2611101,171197,50.8,3.3
Michigan,"16 - September 30 - October 12, 2020",2598553,170609,35.5,2.3
Michigan,"24 - February 3-15, 2021",2644796,170503,36.4,2.3
South Carolina,"19 - November 11-23, 2020",1141548,169530,30.7,4.4
Arizona,"25 - February 17 - March 1, 2021",2110998,167271,39.4,3.1
New Jersey,"14 - September 2-14, 2020",2849972,166186,44.9,2.6
Georgia,"14 - September 2-14, 2020",2694160,165986,35.1,2.1
Georgia,"24 - February 3-15, 2021",2708083,165136,36,2.3
Washington,"18 - October 28 - November 9, 2020",2487631,165033,44.1,2.9
Tennessee,"27 - March 17-29, 2021",1638950,163879,33.6,3.3
Tennessee,"20 - November 25 - December 7, 2020",1680163,163769,34.3,3.3
Virginia,"23 - January 20 - February 1, 2021",2672932,163503,43.8,2.7
Michigan,"15 - September 16-28, 2020",2521976,162599,34.9,2.2
South Carolina,"25 - February 17 - March 1, 2021",1062356,161920,28.2,4.3
Arizona,"27 - March 17-29, 2021",2050725,161546,38.5,3
Georgia,"15 - September 16-28, 2020",2596519,161191,34.3,2.1
Tennessee,"17 - October 14-26, 2020",1631861,160216,32.9,3.2
Maryland,"24 - February 3-15, 2021",2222166,159948,50.8,3.5
Virginia,"26 - March 3-15, 2021",2873066,159783,46.8,2.6
Tennessee,"18 - October 28 - November 9, 2020",1560052,159236,32,3.2
Colorado,"18 - October 28 - November 9, 2020",2178465,158198,50.4,3.7
Washington,"20 - November 25 - December 7, 2020",2495640,158003,44.7,2.8
Virginia,"21 - December 9-21, 2020",2651410,157882,42.9,2.4
Arizona,"19 - November 11-23, 2020",1926205,157818,35.9,2.9
Illinois,"14 - September 2-14, 2020",3535027,157742,38.8,1.7
Virginia,"25 - February 17 - March 1, 2021",2733017,155457,45,2.6
New Jersey,"25 - February 17 - March 1, 2021",2932333,155055,46.5,2.6
New Jersey,"13 - August 19-31, 2020",2800871,153704,44.1,2.3
Virginia,"24 - February 3-15, 2021",2780883,153697,45.1,2.4
Tennessee,"26 - March 3-15, 2021",1635962,153147,33.1,3
Arizona,"26 - March 3-15, 2021",2162482,152962,40.6,2.8
Missouri,"21 - December 9-21, 2020",1586136,152731,36.6,3.5
Tennessee,"22 - January 6-18, 2021",1597755,152343,33.4,3
Washington,"24 - February 3-15, 2021",2492504,151326,44.7,2.7
Michigan,"21 - December 9-21, 2020",2375619,151196,33.3,2.1
Missouri,"22 - January 6-18, 2021",1393253,150370,32.5,3.4
Tennessee,"23 - January 20 - February 1, 2021",1523140,149708,30.9,3
Massachusetts,"21 - December 9-21, 2020",2490237,149599,48.5,3
Arizona,"17 - October 14-26, 2020",2064964,148577,38.8,2.8
Indiana,"26 - March 3-15, 2021",1575828,147854,32.9,3.1
Indiana,"23 - January 20 - February 1, 2021",1775076,147808,36.9,3.1
Indiana,"18 - October 28 - November 9, 2020",1513273,147486,32,3.2
Washington,"25 - February 17 - March 1, 2021",2369096,147119,41.7,2.6
Louisiana,"18 - October 28 - November 9, 2020",953723,145183,29.1,4.4
Michigan,"14 - September 2-14, 2020",2451738,144902,34.3,2.1
New Jersey,"16 - September 30 - October 12, 2020",3073377,144702,47.9,2.3
Michigan,"13 - August 19-31, 2020",2784849,144608,38.4,2
Massachusetts,"27 - March 17-29, 2021",2509097,144086,50,2.9
Missouri,"20 - November 25 - December 7, 2020",1557663,143633,34.7,3.2
Arizona,"24 - February 3-15, 2021",1918935,142037,36.3,2.6
Wisconsin,"27 - March 17-29, 2021",1651914,140578,39.3,3.2
Massachusetts,"25 - February 17 - March 1, 2021",2504914,139462,49.1,2.6
