City,State,Bedrooms,Year,Avg Rent,Change,YoY,2Y Change,Yo2Y,3Y Change,Yo3Y,4Y Change,Yo4Y
Austin,TX,3,2021,1867,19,1.03,104,5.9,133,7.67,,
Seattle,WA,3,2021,2796,102,3.79,-197,-6.58,63,2.31,,
Phoenix,AZ,3,2022,2386,561,30.74,621,35.18,710,42.36,835,53.84
Los Angeles,CA,3,2022,2888,195,7.24,153,5.59,274,10.48,487,20.28
Sacramento,CA,3,2022,2496,304,13.87,356,16.64,550,28.26,732,41.5
San Francisco,CA,3,2022,3912,-199,-4.84,-655,-14.34,-453,-10.38,249,6.8
Chicago,IL,3,2022,1827,130,7.66,178,10.79,242,15.27,285,18.48
Boston,MA,3,2022,3207,241,8.13,301,10.36,327,11.35,824,34.58
New York,NY,3,2022,3078,126,4.27,480,18.48,606,24.51,754,32.44
Nashville,TN,3,2022,1758,171,10.78,219,14.23,274,18.46,303,20.82
Austin,TX,3,2022,2088,221,11.84,240,12.99,325,18.43,354,20.42
Seattle,WA,3,2022,2953,157,5.62,259,9.61,-40,-1.34,220,8.05
Phoenix,AZ,4,2019,1916,140,7.88,,,,,,
Los Angeles,CA,4,2019,2857,216,8.18,,,,,,
Sacramento,CA,4,2019,2368,225,10.5,,,,,,
San Francisco,CA,4,2019,4657,745,19.04,,,,,,
Chicago,IL,4,2019,1888,44,2.39,,,,,,
Boston,MA,4,2019,3131,560,21.78,,,,,,
New York,NY,4,2019,2643,168,6.79,,,,,,
Nashville,TN,4,2019,1822,84,4.83,,,,,,
Austin,TX,4,2019,2128,29,1.38,,,,,,
Seattle,WA,4,2019,3524,296,9.17,,,,,,
Phoenix,AZ,4,2020,2010,94,4.91,234,13.18,,,,
Los Angeles,CA,4,2020,2982,125,4.38,341,12.91,,,,
Sacramento,CA,4,2020,2588,220,9.29,445,20.77,,,,
San Francisco,CA,4,2020,4970,313,6.72,1058,27.04,,,,
Chicago,IL,4,2020,1969,81,4.29,125,6.78,,,,
Boston,MA,4,2020,3168,37,1.18,597,23.22,,,,
New York,NY,4,2020,2784,141,5.33,309,12.48,,,,
Nashville,TN,4,2020,1930,108,5.93,192,11.05,,,,
Austin,TX,4,2020,2207,79,3.71,108,5.15,,,,
Seattle,WA,4,2020,3172,-352,-9.99,-56,-1.73,,,,
Phoenix,AZ,4,2021,2078,68,3.38,162,8.46,302,17.0,,
Los Angeles,CA,4,2021,2933,-49,-1.64,76,2.66,292,11.06,,
Sacramento,CA,4,2021,2625,37,1.43,257,10.85,482,22.49,,
San Francisco,CA,4,2021,4473,-497,-10.0,-184,-3.95,561,14.34,,
Chicago,IL,4,2021,2018,49,2.49,130,6.89,174,9.44,,
Boston,MA,4,2021,3253,85,2.68,122,3.9,682,26.53,,
New York,NY,4,2021,3173,389,13.97,530,20.05,698,28.2,,
Nashville,TN,4,2021,1975,45,2.33,153,8.4,237,13.64,,
Austin,TX,4,2021,2194,-13,-0.59,66,3.1,95,4.53,,
Seattle,WA,4,2021,3285,113,3.56,-239,-6.78,57,1.77,,
Phoenix,AZ,4,2022,2716,638,30.7,706,35.12,800,41.75,940,52.93
Los Angeles,CA,4,2022,3170,237,8.08,188,6.3,313,10.96,529,20.03
Sacramento,CA,4,2022,2907,282,10.74,319,12.33,539,22.76,764,35.65
San Francisco,CA,4,2022,4283,-190,-4.25,-687,-13.82,-374,-8.03,371,9.48
Chicago,IL,4,2022,2172,154,7.63,203,10.31,284,15.04,328,17.79
Boston,MA,4,2022,3540,287,8.82,372,11.74,409,13.06,969,37.69
New York,NY,4,2022,3316,143,4.51,532,19.11,673,25.46,841,33.98
Nashville,TN,4,2022,2173,198,10.03,243,12.59,351,19.26,435,25.03
Austin,TX,4,2022,2416,222,10.12,209,9.47,288,13.53,317,15.1
Seattle,WA,4,2022,3446,161,4.9,274,8.64,-78,-2.21,218,6.75
